,minimum,maximum,variability
ATPS4r,34.82561783032088,59.381062368566205,24.555444538245325
PFK,1.1717056706103535,25.290643765944353,24.118938095334
PDH,0.0,19.888208401328644,19.888208401328644
NADH16,32.659149438235126,51.23908678079782,18.579937342562694
ATPM,8.39,25.551000000000105,17.161000000000104
CYTBD,35.9848645585755,51.23908678079783,15.254222222222324
EX_h_e,15.777778886808006,27.10010291081674,11.322324024008735
EX_co2_e,15.206525955175815,26.528849979184496,11.322324024008681
CO2t,-26.5288499791845,-15.206525955175836,11.322324024008664
H2Ot,-32.258244422009255,-20.935920398000597,11.322324024008658
EX_h2o_e,20.935920398000597,32.258244422009255,11.322324024008658
ENO,8.686587516534656,16.732521095240948,8.045933578706292
PGM,-16.732521095240937,-8.686587516534647,8.04593357870629
FBA,1.1717056706103628,9.217639249316653,8.04593357870629
PGK,-17.909169012223238,-9.86323543351695,8.045933578706288
GAPD,9.863235433516953,17.909169012223234,8.045933578706281
O2t,17.992432279287755,25.619543390398913,7.627111111111159
EX_o2_e,-25.619543390398906,-17.992432279287755,7.627111111111152
GLCpts,9.046611111111105,10.000000000000002,0.9533888888888971
EX_glc__D_e,-10.0,-9.046611111111105,0.9533888888888953
